1: n = 7 m = 3, ms = 12, mst = a[0..3][0..1]
1118: n = 10 m = 2, ms = 21, mst = a[0..6][0..1]
1119: n = 5 m = 10, ms = 36, mst = a[0..4][1..8]
1120: n = 7 m = 7, ms = 26, mst = a[0..4][2..5]
1121: n = 1 m = 10, ms = 12, mst = a[0..0][0..6]
1122: n = 1 m = 1, ms = 0, mst is empty
1123: n = 1 m = 1, ms = 2, mst = a[0..0][0..0]
1124: n = 2 m = 5, ms = 4, mst = a[0..1][0..1]
1125: n = 4 m = 1, ms = 4, mst = a[3..3][0..0]
1126: n = 4 m = 4, ms = 13, mst = a[0..1][0..3]
1127: n = 1 m = 6, ms = 5, mst = a[0..0][4..5]
1128: n = 6 m = 7, ms = 24, mst = a[0..3][0..4]
1129: n = 10 m = 10, ms = 27, mst = a[4..8][2..6]
1130: n = 9 m = 3, ms = 10, mst = a[6..8][0..1]
1131: n = 2 m = 9, ms = 5, mst = a[0..1][8..8]
1132: n = 9 m = 3, ms = 16, mst = a[0..6][0..2]
1133: n = 3 m = 1, ms = 0, mst = a[2..2][0..0]
1134: n = 6 m = 1, ms = 14, mst = a[1..5][0..0]
1135: n = 3 m = 3, ms = 5, mst = a[0..0][0..2]
1136: n = 9 m = 9, ms = 24, mst = a[0..6][0..3]
1137: n = 8 m = 8, ms = 25, mst = a[0..6][0..2]
1138: n = 4 m = 3, ms = 4, mst = a[1..1][0..2]
1139: n = 9 m = 6, ms = 48, mst = a[0..8][0..5]
1140: n = 10 m = 1, ms = 13, mst = a[2..9][0..0]
1141: n = 7 m = 1, ms = 4, mst = a[0..0][0..0]
1142: n = 7 m = 6, ms = 18, mst = a[0..3][1..5]
1143: n = 5 m = 3, ms = 9, mst = a[0..4][2..2]
1144: n = 5 m = 1, ms = 9, mst = a[0..3][0..0]
1145: n = 6 m = 5, ms = 15, mst = a[3..4][1..4]
1146: n = 3 m = 9, ms = 13, mst = a[0..1][0..2]
1147: n = 2 m = 1, ms = 0, mst = a[0..0][0..0]
1148: n = 7 m = 10, ms = 25, mst = a[1..4][6..9]
1149: n = 4 m = 5, ms = 18, mst = a[0..3][1..4]
1150: n = 4 m = 5, ms = 8, mst = a[0..2][2..3]
1151: n = 8 m = 3, ms = 13, mst = a[0..6][0..0]
1152: n = 8 m = 5, ms = 17, mst = a[5..7][0..3]
1153: n = 5 m = 1, ms = 4, mst = a[4..4][0..0]
1154: n = 7 m = 4, ms = 4, mst = a[1..4][1..2]
1155: n = 3 m = 3, ms = 3, mst = a[1..1][0..1]
1156: n = 7 m = 6, ms = 21, mst = a[2..3][0..5]
1157: n = 2 m = 4, ms = 6, mst = a[0..0][2..3]
1158: n = 10 m = 4, ms = 39, mst = a[2..9][0..3]
1159: n = 5 m = 4, ms = 8, mst = a[0..0][1..2]
1160: n = 6 m = 7, ms = 18, mst = a[1..2][1..6]
1161: n = 7 m = 1, ms = 8, mst = a[4..5][0..0]
1162: n = 10 m = 6, ms = 23, mst = a[2..9][0..4]
1163: n = 2 m = 8, ms = 7, mst = a[0..0][4..7]
1164: n = 5 m = 1, ms = 4, mst = a[1..1][0..0]
1165: n = 2 m = 6, ms = 4, mst = a[1..1][0..0]
1166: n = 7 m = 5, ms = 19, mst = a[0..2][0..3]
1167: n = 9 m = 10, ms = 34, mst = a[2..6][5..9]
1168: n = 4 m = 8, ms = 10, mst = a[0..2][0..0]
1169: n = 8 m = 10, ms = 10, mst = a[2..6][0..0]
1170: n = 6 m = 10, ms = 20, mst = a[0..3][0..5]
1171: n = 9 m = 3, ms = 12, mst = a[0..3][0..2]
1172: n = 5 m = 7, ms = 28, mst = a[0..4][3..6]
1173: n = 10 m = 7, ms = 23, mst = a[1..3][0..5]
1174: n = 9 m = 10, ms = 30, mst = a[2..8][2..9]
1175: n = 3 m = 6, ms = 8, mst = a[1..2][3..5]
1176: n = 1 m = 5, ms = 4, mst = a[0..0][3..4]
1177: n = 7 m = 4, ms = 32, mst = a[1..6][1..3]
1178: n = 6 m = 9, ms = 22, mst = a[1..5][2..7]
1179: n = 6 m = 10, ms = 31, mst = a[0..4][0..8]
1180: n = 7 m = 1, ms = 6, mst = a[5..6][0..0]
1181: n = 9 m = 1, ms = 5, mst = a[5..8][0..0]
1182: n = 10 m = 8, ms = 24, mst = a[6..9][0..3]
1183: n = 1 m = 10, ms = 5, mst = a[0..0][3..5]
1184: n = 2 m = 8, ms = 8, mst = a[0..1][1..6]
1185: n = 9 m = 3, ms = 9, mst = a[1..6][1..1]
1186: n = 9 m = 8, ms = 18, mst = a[1..3][2..6]
1187: n = 8 m = 6, ms = 29, mst = a[0..5][0..3]
1188: n = 3 m = 4, ms = 8, mst = a[0..1][1..2]
1189: n = 1 m = 5, ms = 3, mst = a[0..0][0..1]
1190: n = 6 m = 1, ms = 4, mst = a[2..2][0..0]
1191: n = 4 m = 1, ms = 11, mst = a[0..2][0..0]
1192: n = 9 m = 7, ms = 24, mst = a[7..8][2..5]
1193: n = 7 m = 6, ms = 12, mst = a[0..6][1..1]
1194: n = 1 m = 7, ms = 8, mst = a[0..0][0..6]
1195: n = 4 m = 4, ms = 10, mst = a[0..3][0..2]
1196: n = 1 m = 1, ms = 3, mst = a[0..0][0..0]
1197: n = 8 m = 7, ms = 24, mst = a[2..7][3..5]
1198: n = 5 m = 9, ms = 42, mst = a[1..4][0..7]
1199: n = 4 m = 2, ms = 4, mst = a[3..3][0..1]
1200: n = 6 m = 4, ms = 9, mst = a[0..1][0..3]
1201: n = 9 m = 5, ms = 13, mst = a[0..6][2..2]
1202: n = 6 m = 10, ms = 34, mst = a[3..5][1..9]
1203: n = 7 m = 7, ms = 13, mst = a[5..6][4..6]
1204: n = 6 m = 1, ms = 5, mst = a[4..5][0..0]
1205: n = 1 m = 1, ms = 0, mst is empty
1206: n = 6 m = 2, ms = 6, mst = a[5..5][0..1]
1207: n = 2 m = 6, ms = 9, mst = a[0..1][0..5]
1208: n = 1 m = 3, ms = 0, mst = a[0..0][2..2]
1209: n = 6 m = 6, ms = 8, mst = a[5..5][1..4]
1210: n = 5 m = 9, ms = 14, mst = a[0..4][5..6]
1211: n = 9 m = 7, ms = 36, mst = a[0..7][4..6]
1212: n = 8 m = 8, ms = 28, mst = a[3..7][0..4]
1213: n = 7 m = 4, ms = 10, mst = a[0..1][1..3]
1214: n = 7 m = 5, ms = 36, mst = a[1..6][0..3]
1215: n = 2 m = 5, ms = 5, mst = a[0..1][4..4]
1216: n = 3 m = 8, ms = 10, mst = a[0..2][6..6]
1217: n = 4 m = 6, ms = 11, mst = a[1..3][1..2]
1218: n = 7 m = 7, ms = 19, mst = a[3..6][3..5]
1219: n = 2 m = 3, ms = 14, mst = a[0..1][1..2]
1220: n = 9 m = 8, ms = 14, mst = a[0..7][1..3]
1221: n = 8 m = 5, ms = 17, mst = a[0..7][3..3]
1222: n = 10 m = 8, ms = 28, mst = a[3..8][0..6]
1223: n = 9 m = 8, ms = 27, mst = a[1..8][4..6]
1224: n = 9 m = 10, ms = 20, mst = a[3..5][4..9]
1225: n = 9 m = 10, ms = 32, mst = a[0..8][3..8]
1226: n = 5 m = 7, ms = 20, mst = a[0..2][0..5]
1227: n = 2 m = 4, ms = 8, mst = a[0..1][2..3]
1228: n = 5 m = 5, ms = 18, mst = a[1..4][1..4]
1229: n = 5 m = 6, ms = 13, mst = a[0..3][1..3]
1230: n = 6 m = 3, ms = 11, mst = a[0..5][0..2]
1231: n = 5 m = 9, ms = 14, mst = a[1..3][5..7]
1232: n = 6 m = 4, ms = 16, mst = a[3..4][1..3]
1233: n = 10 m = 8, ms = 46, mst = a[4..9][0..6]
1234: n = 3 m = 1, ms = 3, mst = a[0..0][0..0]
1235: n = 9 m = 1, ms = 6, mst = a[3..6][0..0]
1236: n = 3 m = 9, ms = 13, mst = a[0..1][0..4]
1237: n = 9 m = 2, ms = 7, mst = a[3..5][0..1]
1238: n = 4 m = 3, ms = 10, mst = a[0..1][0..2]
1239: n = 3 m = 5, ms = 4, mst = a[0..1][1..1]
1240: n = 4 m = 5, ms = 18, mst = a[1..3][0..4]
1241: n = 3 m = 5, ms = 14, mst = a[0..2][0..1]
1242: n = 7 m = 9, ms = 27, mst = a[0..6][0..4]
1243: n = 8 m = 8, ms = 13, mst = a[0..1][1..4]
1244: n = 3 m = 9, ms = 11, mst = a[0..1][0..2]
1245: n = 3 m = 6, ms = 7, mst = a[1..1][2..5]
1246: n = 4 m = 4, ms = 15, mst = a[0..3][0..3]
1247: n = 10 m = 2, ms = 15, mst = a[1..9][1..1]
1248: n = 10 m = 5, ms = 29, mst = a[0..9][0..4]
1249: n = 7 m = 4, ms = 15, mst = a[1..4][2..3]
1250: n = 5 m = 6, ms = 9, mst = a[4..4][1..5]
1251: n = 5 m = 4, ms = 17, mst = a[0..4][1..3]
1252: n = 4 m = 9, ms = 10, mst = a[0..0][5..7]
1253: n = 2 m = 9, ms = 4, mst = a[0..1][3..3]
1254: n = 8 m = 2, ms = 9, mst = a[3..6][1..1]
1255: n = 8 m = 1, ms = 4, mst = a[7..7][0..0]
1256: n = 1 m = 9, ms = 5, mst = a[0..0][0..5]
1257: n = 8 m = 8, ms = 28, mst = a[0..5][2..7]
1258: n = 2 m = 2, ms = 2, mst = a[0..0][0..0]
1259: n = 10 m = 6, ms = 44, mst = a[0..9][0..5]
1260: n = 2 m = 2, ms = 1, mst = a[0..0][1..1]
1261: n = 8 m = 6, ms = 37, mst = a[0..7][0..3]
1262: n = 7 m = 2, ms = 10, mst = a[0..4][0..0]
1263: n = 7 m = 4, ms = 12, mst = a[0..3][1..3]
1264: n = 4 m = 6, ms = 4, mst = a[3..3][0..0]
1265: n = 5 m = 6, ms = 20, mst = a[1..3][0..2]
1266: n = 8 m = 10, ms = 14, mst = a[5..6][0..9]
1267: n = 3 m = 9, ms = 12, mst = a[0..0][1..6]
1268: n = 3 m = 4, ms = 10, mst = a[0..2][0..1]
1269: n = 7 m = 8, ms = 17, mst = a[2..5][1..4]
1270: n = 2 m = 8, ms = 18, mst = a[0..1][1..6]
1271: n = 9 m = 6, ms = 26, mst = a[0..7][0..5]
1272: n = 2 m = 3, ms = 4, mst = a[0..0][2..2]
1273: n = 1 m = 8, ms = 13, mst = a[0..0][3..7]
1274: n = 10 m = 4, ms = 14, mst = a[0..7][2..3]
1275: n = 5 m = 6, ms = 13, mst = a[1..2][0..4]
1276: n = 3 m = 10, ms = 12, mst = a[2..2][1..4]
1277: n = 9 m = 3, ms = 11, mst = a[1..7][2..2]
1278: n = 10 m = 10, ms = 23, mst = a[2..3][0..5]
1279: n = 9 m = 7, ms = 20, mst = a[3..5][0..3]
1280: n = 5 m = 1, ms = 0, mst = a[1..1][0..0]
1281: n = 10 m = 8, ms = 19, mst = a[1..9][3..4]
1282: n = 1 m = 4, ms = 9, mst = a[0..0][0..3]
1283: n = 7 m = 1, ms = 9, mst = a[0..2][0..0]
1284: n = 8 m = 4, ms = 13, mst = a[2..7][1..1]
1285: n = 7 m = 5, ms = 16, mst = a[0..3][0..4]
1286: n = 5 m = 10, ms = 7, mst = a[2..4][8..8]
1287: n = 5 m = 7, ms = 9, mst = a[4..4][1..5]
1288: n = 6 m = 5, ms = 12, mst = a[2..3][1..3]
1289: n = 7 m = 2, ms = 12, mst = a[1..5][1..1]
1290: n = 9 m = 9, ms = 37, mst = a[1..4][0..8]
1291: n = 10 m = 2, ms = 15, mst = a[0..7][0..1]
1292: n = 2 m = 6, ms = 5, mst = a[0..1][3..4]
1293: n = 3 m = 4, ms = 1, mst = a[2..2][0..0]
1294: n = 4 m = 4, ms = 16, mst = a[0..3][0..3]
1295: n = 10 m = 1, ms = 8, mst = a[1..6][0..0]
1296: n = 3 m = 2, ms = 10, mst = a[0..2][0..0]
1297: n = 9 m = 4, ms = 23, mst = a[0..7][1..3]
1298: n = 8 m = 7, ms = 32, mst = a[1..7][3..6]
1299: n = 7 m = 2, ms = 12, mst = a[3..6][0..1]
1300: n = 9 m = 1, ms = 12, mst = a[0..8][0..0]
1301: n = 4 m = 7, ms = 10, mst = a[0..1][4..6]
1302: n = 5 m = 1, ms = 5, mst = a[3..4][0..0]
1303: n = 8 m = 6, ms = 10, mst = a[1..6][0..0]
1304: n = 8 m = 4, ms = 6, mst = a[0..1][0..2]
1305: n = 10 m = 7, ms = 22, mst = a[4..7][0..6]
1306: n = 8 m = 10, ms = 22, mst = a[5..6][4..9]
1307: n = 1 m = 1, ms = 0, mst is empty
1308: n = 9 m = 6, ms = 26, mst = a[1..5][1..5]
1309: n = 9 m = 9, ms = 28, mst = a[4..7][0..7]
1310: n = 10 m = 7, ms = 21, mst = a[1..6][1..6]
1311: n = 1 m = 1, ms = 0, mst is empty
1312: n = 7 m = 1, ms = 9, mst = a[1..6][0..0]
1313: n = 9 m = 3, ms = 16, mst = a[0..6][0..1]
1314: n = 3 m = 5, ms = 17, mst = a[1..2][0..4]
1315: n = 5 m = 2, ms = 16, mst = a[0..4][0..1]
1316: n = 6 m = 10, ms = 23, mst = a[0..3][0..7]
1317: n = 8 m = 8, ms = 17, mst = a[0..5][4..7]
1318: n = 2 m = 1, ms = 3, mst = a[0..0][0..0]
1319: n = 3 m = 1, ms = 2, mst = a[0..0][0..0]
1320: n = 10 m = 1, ms = 13, mst = a[3..8][0..0]
1321: n = 5 m = 3, ms = 11, mst = a[0..4][0..2]
1322: n = 7 m = 1, ms = 7, mst = a[4..6][0..0]
1323: n = 1 m = 7, ms = 2, mst = a[0..0][1..1]
1324: n = 2 m = 3, ms = 0, mst = a[0..0][0..0]
1325: n = 9 m = 10, ms = 62, mst = a[0..8][1..5]
1326: n = 3 m = 7, ms = 6, mst = a[1..2][0..0]
1327: n = 1 m = 5, ms = 4, mst = a[0..0][2..2]
1328: n = 4 m = 9, ms = 21, mst = a[0..1][0..6]
1329: n = 6 m = 5, ms = 6, mst = a[1..1][1..3]
1330: n = 10 m = 5, ms = 14, mst = a[1..6][1..3]
1331: n = 7 m = 2, ms = 11, mst = a[0..3][0..1]
1332: n = 2 m = 7, ms = 5, mst = a[0..1][4..4]
1333: n = 4 m = 10, ms = 16, mst = a[0..2][3..8]
1334: n = 8 m = 1, ms = 5, mst = a[4..5][0..0]
1335: n = 10 m = 3, ms = 12, mst = a[4..8][0..2]
1336: n = 6 m = 7, ms = 17, mst = a[0..5][2..4]
1337: n = 6 m = 4, ms = 16, mst = a[0..5][0..3]
1338: n = 7 m = 5, ms = 12, mst = a[1..4][1..4]
1339: n = 6 m = 1, ms = 11, mst = a[0..5][0..0]
1340: n = 3 m = 10, ms = 17, mst = a[0..1][3..6]
1341: n = 3 m = 3, ms = 6, mst = a[0..0][0..2]
1342: n = 2 m = 1, ms = 0, mst = a[0..0][0..0]
1343: n = 2 m = 6, ms = 7, mst = a[0..1][0..1]
1344: n = 4 m = 2, ms = 5, mst = a[2..3][1..1]
1345: n = 9 m = 1, ms = 3, mst = a[6..8][0..0]
1346: n = 2 m = 10, ms = 4, mst = a[1..1][6..8]
1347: n = 8 m = 4, ms = 21, mst = a[2..5][0..3]
1348: n = 7 m = 6, ms = 16, mst = a[4..5][0..2]
1349: n = 1 m = 4, ms = 1, mst = a[0..0][0..0]
1350: n = 8 m = 1, ms = 6, mst = a[0..3][0..0]
1351: n = 8 m = 9, ms = 36, mst = a[2..7][0..7]
1352: n = 6 m = 9, ms = 28, mst = a[0..5][1..6]
1353: n = 1 m = 7, ms = 8, mst = a[0..0][1..6]
1354: n = 6 m = 7, ms = 21, mst = a[2..4][1..6]
1355: n = 1 m = 2, ms = 1, mst = a[0..0][0..0]
1356: n = 3 m = 6, ms = 11, mst = a[0..2][0..4]
1357: n = 7 m = 6, ms = 23, mst = a[0..6][0..3]
1358: n = 9 m = 4, ms = 18, mst = a[0..7][0..1]
1359: n = 7 m = 2, ms = 7, mst = a[5..6][0..1]
1360: n = 9 m = 8, ms = 28, mst = a[4..7][0..4]
1361: n = 8 m = 3, ms = 9, mst = a[4..6][2..2]
1362: n = 4 m = 1, ms = 3, mst = a[1..1][0..0]
1363: n = 6 m = 3, ms = 6, mst = a[0..2][0..1]
1364: n = 7 m = 8, ms = 24, mst = a[1..5][0..4]
1365: n = 6 m = 10, ms = 19, mst = a[3..4][0..9]
1366: n = 4 m = 9, ms = 15, mst = a[0..0][0..8]
1367: n = 8 m = 5, ms = 22, mst = a[1..7][2..4]
1368: n = 9 m = 1, ms = 11, mst = a[0..5][0..0]
1369: n = 8 m = 7, ms = 18, mst = a[0..4][0..6]
1370: n = 3 m = 1, ms = 1, mst = a[0..0][0..0]
1371: n = 10 m = 7, ms = 23, mst = a[0..3][3..6]
1372: n = 1 m = 10, ms = 8, mst = a[0..0][3..8]
1373: n = 6 m = 3, ms = 6, mst = a[2..5][0..1]
1374: n = 5 m = 1, ms = 8, mst = a[1..3][0..0]
1375: n = 7 m = 1, ms = 2, mst = a[1..1][0..0]
1376: n = 6 m = 3, ms = 9, mst = a[2..5][1..1]
1377: n = 6 m = 3, ms = 6, mst = a[1..5][1..1]
1378: n = 1 m = 5, ms = 7, mst = a[0..0][1..4]
1379: n = 6 m = 7, ms = 13, mst = a[1..5][0..2]
1380: n = 7 m = 1, ms = 3, mst = a[2..2][0..0]
1381: n = 4 m = 2, ms = 6, mst = a[0..2][0..0]
1382: n = 7 m = 9, ms = 18, mst = a[5..6][1..8]
1383: n = 6 m = 6, ms = 11, mst = a[0..5][2..3]
1384: n = 9 m = 1, ms = 5, mst = a[0..1][0..0]
1385: n = 10 m = 8, ms = 16, mst = a[3..4][2..5]
1386: n = 10 m = 5, ms = 29, mst = a[1..6][1..2]
1387: n = 6 m = 4, ms = 10, mst = a[0..1][0..3]
1388: n = 3 m = 8, ms = 10, mst = a[1..2][0..5]
1389: n = 5 m = 8, ms = 4, mst = a[4..4][5..5]
1390: n = 2 m = 2, ms = 5, mst = a[0..1][0..0]
1391: n = 3 m = 9, ms = 7, mst = a[0..2][4..4]
1392: n = 8 m = 9, ms = 27, mst = a[3..6][0..8]
1393: n = 2 m = 5, ms = 6, mst = a[0..1][3..4]
1394: n = 7 m = 5, ms = 36, mst = a[1..6][0..4]
1395: n = 4 m = 8, ms = 18, mst = a[1..3][2..6]
1396: n = 1 m = 5, ms = 2, mst = a[0..0][2..2]
1397: n = 5 m = 8, ms = 16, mst = a[0..3][5..7]
1398: n = 6 m = 5, ms = 10, mst = a[3..3][0..2]
1399: n = 10 m = 7, ms = 47, mst = a[2..7][0..6]
1400: n = 5 m = 9, ms = 20, mst = a[0..1][0..6]
1401: n = 10 m = 9, ms = 20, mst = a[0..1][1..6]
1402: n = 7 m = 2, ms = 7, mst = a[0..2][0..1]
1403: n = 2 m = 10, ms = 10, mst = a[0..0][3..6]
1404: n = 5 m = 2, ms = 4, mst = a[4..4][1..1]
1405: n = 4 m = 10, ms = 12, mst = a[0..3][3..6]
1406: n = 7 m = 2, ms = 5, mst = a[0..2][0..1]
1407: n = 6 m = 3, ms = 15, mst = a[0..4][1..2]
1408: n = 9 m = 9, ms = 39, mst = a[0..5][1..8]
1409: n = 1 m = 3, ms = 2, mst = a[0..0][2..2]
1410: n = 10 m = 3, ms = 10, mst = a[1..6][2..2]
1411: n = 1 m = 8, ms = 13, mst = a[0..0][1..6]
1412: n = 5 m = 1, ms = 3, mst = a[1..1][0..0]
1413: n = 5 m = 9, ms = 12, mst = a[0..2][3..7]
1414: n = 7 m = 5, ms = 26, mst = a[0..5][0..4]
1415: n = 3 m = 4, ms = 25, mst = a[0..2][1..3]
1416: n = 7 m = 3, ms = 8, mst = a[4..5][1..2]
1417: n = 9 m = 4, ms = 27, mst = a[2..7][0..3]
1418: n = 7 m = 8, ms = 12, mst = a[1..3][4..6]
1419: n = 7 m = 7, ms = 15, mst = a[0..4][1..3]
1420: n = 3 m = 6, ms = 7, mst = a[0..0][3..4]
1421: n = 6 m = 10, ms = 17, mst = a[3..4][1..8]
1422: n = 4 m = 8, ms = 16, mst = a[2..3][1..5]
1423: n = 2 m = 6, ms = 4, mst = a[0..1][4..4]
1424: n = 8 m = 3, ms = 19, mst = a[1..7][0..2]
1425: n = 4 m = 8, ms = 14, mst = a[1..2][3..5]
1426: n = 10 m = 5, ms = 15, mst = a[0..4][2..4]
1427: n = 10 m = 4, ms = 15, mst = a[0..4][1..3]
1428: n = 2 m = 8, ms = 11, mst = a[0..0][0..4]
1429: n = 1 m = 6, ms = 9, mst = a[0..0][1..4]
1430: n = 7 m = 5, ms = 11, mst = a[2..2][0..3]
1431: n = 10 m = 4, ms = 7, mst = a[0..5][2..2]
1432: n = 2 m = 5, ms = 4, mst = a[0..0][2..2]
1433: n = 8 m = 2, ms = 6, mst = a[1..5][1..1]
1434: n = 2 m = 7, ms = 5, mst = a[0..1][0..1]
1435: n = 10 m = 7, ms = 27, mst = a[2..9][0..5]
1436: n = 9 m = 9, ms = 47, mst = a[0..8][3..8]
1437: n = 9 m = 7, ms = 21, mst = a[0..7][0..2]
1438: n = 1 m = 5, ms = 4, mst = a[0..0][0..0]
1439: n = 8 m = 9, ms = 24, mst = a[1..6][4..8]
1440: n = 6 m = 8, ms = 28, mst = a[0..5][0..7]
1441: n = 10 m = 8, ms = 34, mst = a[0..9][0..6]
1442: n = 3 m = 7, ms = 13, mst = a[0..2][1..6]
1443: n = 9 m = 6, ms = 17, mst = a[3..6][0..2]
1444: n = 2 m = 2, ms = 3, mst = a[0..0][1..1]
1445: n = 5 m = 5, ms = 12, mst = a[3..3][1..4]
1446: n = 3 m = 2, ms = 1, mst = a[1..1][0..0]
1447: n = 10 m = 2, ms = 5, mst = a[0..1][0..0]
1448: n = 6 m = 10, ms = 7, mst = a[4..4][0..5]
1449: n = 4 m = 3, ms = 4, mst = a[3..3][0..1]
1450: n = 8 m = 8, ms = 20, mst = a[3..5][5..7]
1451: n = 10 m = 7, ms = 16, mst = a[0..8][5..6]
1452: n = 4 m = 10, ms = 8, mst = a[1..2][8..9]
1453: n = 7 m = 7, ms = 21, mst = a[2..6][4..6]
1454: n = 4 m = 5, ms = 5, mst = a[1..1][3..4]
1455: n = 3 m = 3, ms = 9, mst = a[1..2][0..2]
1456: n = 8 m = 4, ms = 13, mst = a[0..1][1..3]
1457: n = 9 m = 8, ms = 38, mst = a[0..3][1..7]
1458: n = 5 m = 3, ms = 8, mst = a[3..4][0..0]
1459: n = 4 m = 7, ms = 18, mst = a[0..3][0..4]
1460: n = 8 m = 8, ms = 15, mst = a[0..5][2..4]
1461: n = 3 m = 9, ms = 15, mst = a[0..1][0..8]
1462: n = 4 m = 3, ms = 4, mst = a[0..1][1..1]
1463: n = 5 m = 4, ms = 14, mst = a[2..4][0..3]
1464: n = 5 m = 3, ms = 4, mst = a[0..0][0..2]
1465: n = 4 m = 9, ms = 15, mst = a[1..3][0..4]
1466: n = 3 m = 10, ms = 17, mst = a[0..2][0..8]
1467: n = 9 m = 3, ms = 15, mst = a[5..8][0..1]
1468: n = 5 m = 2, ms = 3, mst = a[4..4][1..1]
1469: n = 7 m = 7, ms = 21, mst = a[1..5][1..6]
1470: n = 5 m = 5, ms = 14, mst = a[2..4][0..3]
1471: n = 10 m = 8, ms = 19, mst = a[4..9][7..7]
1472: n = 3 m = 1, ms = 2, mst = a[2..2][0..0]
1473: n = 1 m = 6, ms = 4, mst = a[0..0][2..2]
1474: n = 3 m = 3, ms = 12, mst = a[0..1][0..2]
1475: n = 4 m = 9, ms = 19, mst = a[2..3][1..7]
1476: n = 9 m = 10, ms = 41, mst = a[0..8][0..6]
1477: n = 10 m = 3, ms = 12, mst = a[1..9][2..2]
1478: n = 2 m = 8, ms = 7, mst = a[0..0][1..5]
1479: n = 3 m = 3, ms = 3, mst = a[1..1][0..0]
1480: n = 4 m = 1, ms = 4, mst = a[2..2][0..0]
1481: n = 10 m = 6, ms = 25, mst = a[2..8][0..5]
1482: n = 6 m = 9, ms = 26, mst = a[1..5][1..6]
1483: n = 9 m = 7, ms = 11, mst = a[7..8][1..4]
1484: n = 6 m = 2, ms = 9, mst = a[0..4][0..0]
1485: n = 6 m = 10, ms = 19, mst = a[0..1][2..8]
1486: n = 10 m = 9, ms = 35, mst = a[0..6][1..4]
1487: n = 4 m = 4, ms = 14, mst = a[0..1][1..3]
1488: n = 10 m = 3, ms = 15, mst = a[5..9][1..2]
1489: n = 6 m = 4, ms = 9, mst = a[2..4][1..1]
1490: n = 5 m = 1, ms = 4, mst = a[1..2][0..0]
1491: n = 8 m = 8, ms = 22, mst = a[4..7][1..5]
1492: n = 9 m = 2, ms = 21, mst = a[0..5][0..1]
1493: n = 5 m = 5, ms = 8, mst = a[1..3][0..0]
1494: n = 4 m = 2, ms = 2, mst = a[0..0][0..0]
1495: n = 9 m = 1, ms = 5, mst = a[5..8][0..0]
1496: n = 8 m = 9, ms = 20, mst = a[1..5][0..3]
1497: n = 10 m = 1, ms = 10, mst = a[0..5][0..0]
1498: n = 7 m = 3, ms = 8, mst = a[0..2][0..1]
1499: n = 4 m = 4, ms = 7, mst = a[2..2][0..1]
1500: n = 8 m = 3, ms = 17, mst = a[2..3][0..2]
1501: n = 4 m = 7, ms = 17, mst = a[0..1][0..5]
1502: n = 9 m = 6, ms = 17, mst = a[0..2][1..5]
1503: n = 8 m = 6, ms = 10, mst = a[0..5][4..4]
1504: n = 6 m = 9, ms = 16, mst = a[1..4][0..7]
1505: n = 9 m = 10, ms = 33, mst = a[0..8][0..3]
1506: n = 7 m = 9, ms = 21, mst = a[1..6][1..4]
1507: n = 9 m = 10, ms = 66, mst = a[0..8][2..9]
1508: n = 4 m = 8, ms = 11, mst = a[0..3][1..5]
1509: n = 6 m = 3, ms = 6, mst = a[1..4][0..1]
1510: n = 10 m = 8, ms = 35, mst = a[0..5][0..5]
1511: n = 10 m = 3, ms = 11, mst = a[6..9][0..1]
1512: n = 10 m = 1, ms = 7, mst = a[0..2][0..0]
1513: n = 6 m = 5, ms = 15, mst = a[1..5][3..3]
1514: n = 1 m = 2, ms = 0, mst = a[0..0][0..0]
1515: n = 5 m = 8, ms = 11, mst = a[1..4][2..7]
1516: n = 10 m = 7, ms = 11, mst = a[4..8][0..3]
1517: n = 2 m = 3, ms = 10, mst = a[0..1][0..2]
1518: n = 2 m = 5, ms = 1, mst = a[1..1][3..3]
1519: n = 2 m = 8, ms = 9, mst = a[0..1][5..6]
1520: n = 2 m = 6, ms = 8, mst = a[0..1][3..3]
1521: n = 7 m = 3, ms = 9, mst = a[0..2][2..2]
1522: n = 4 m = 5, ms = 8, mst = a[0..3][0..0]
1523: n = 10 m = 9, ms = 50, mst = a[0..8][1..8]
1524: n = 5 m = 10, ms = 24, mst = a[1..4][0..7]
1525: n = 3 m = 1, ms = 7, mst = a[0..2][0..0]
1526: n = 2 m = 7, ms = 6, mst = a[0..1][4..5]
1527: n = 2 m = 7, ms = 20, mst = a[0..1][0..6]
1528: n = 4 m = 8, ms = 7, mst = a[0..0][0..5]
1529: n = 8 m = 7, ms = 9, mst = a[5..5][0..3]
1530: n = 10 m = 4, ms = 31, mst = a[0..7][0..3]
1531: n = 9 m = 9, ms = 26, mst = a[5..8][1..8]
1532: n = 3 m = 5, ms = 7, mst = a[0..1][3..3]
1533: n = 7 m = 7, ms = 7, mst = a[3..3][0..2]
1534: n = 1 m = 2, ms = 2, mst = a[0..0][0..1]
1535: n = 3 m = 1, ms = 3, mst = a[2..2][0..0]
1536: n = 6 m = 9, ms = 21, mst = a[0..3][3..7]
1537: n = 9 m = 6, ms = 21, mst = a[4..7][0..5]
1538: n = 2 m = 5, ms = 9, mst = a[0..1][0..2]
1539: n = 3 m = 5, ms = 2, mst = a[1..1][4..4]
1540: n = 1 m = 3, ms = 5, mst = a[0..0][0..1]
1541: n = 1 m = 7, ms = 6, mst = a[0..0][4..6]
